0:0,0,0,0,1,0.0,0.0,0.0 10 11
1:0,0,1,0,0,0.0,1.0,1.0 12 13
2:0,0,0,0,0,0.0,0.0,0.0 14 15
3:0,0,0,0,0,0.0,0.0,0.0 16 17
4:0,0,1,0,0,0.0,1.0,1.0 18 19
5:0,0,1,0,0,0.0,1.0,1.0 20 21
6:1,0,0,0,0,0.0,0.0,0.0 22 23
7:0,0,0,0,0,0.0,0.0,0.0 24 25
8:1,0,0,0,0,0.0,0.0,0.0 26 27
9:0,0,1,0,0,0.0,1.0,1.0 28 29
10:0,1,0,0,0,1.0,0.0,0.0 0 11 12 13
11:0,0,0,0,1,0.0,0.0,0.0 0 10 14 15
12:1,0,0,0,0,0.0,0.0,0.0 1 10 16 17
13:0,0,1,0,0,0.0,1.0,1.0 1 10 18 19
14:0,0,0,0,0,0.0,0.0,0.0 2 11 20 21
15:0,0,0,0,0,0.0,0.0,0.0 2 11 22 23
16:1,0,0,0,0,0.0,0.0,0.0 3 12 24 25
17:0,1,0,0,0,1.0,0.0,0.0 3 12 26 27
18:0,0,0,0,0,0.0,0.0,0.0 4 13 28 29
19:0,0,0,1,0,0.0,0.0,0.0 4 13 20 21
20:0,0,0,0,0,0.0,0.0,0.0 5 14 19 22
21:0,0,1,0,0,0.0,1.0,1.0 5 14 19 23
22:0,0,0,1,0,0.0,0.0,0.0 6 15 20 24
23:0,1,0,0,0,1.0,0.0,0.0 6 15 21 25
24:0,0,0,0,0,0.0,0.0,0.0 7 16 22 26
25:0,0,0,0,0,0.0,0.0,0.0 7 16 23 27
26:0,0,0,0,0,0.0,0.0,0.0 8 17 24 28
27:0,0,0,0,1,0.0,0.0,0.0 8 17 25 29
28:1,0,0,0,0,0.0,0.0,0.0 9 18 26 29
29:0,0,0,0,0,0.0,0.0,0.0 9 18 27 28
