0:0,0,1,0,0,0.5,1.0 10 11
1:1,0,0,0,0,0.25,0.0 12 13
2:0,0,0,1,0,0.5,0.5 14 15
3:0,0,0,1,0,0.0,0.25 16 17
4:0,0,0,0,0,0.0,0.25 18 19
5:0,0,0,0,0,0.25,17.5 20 21
6:1,0,0,0,0,0.5,1.5 22 23
7:0,0,0,0,1,0.25,0.5 24 25
8:0,0,0,0,0,0.0,0.25 26 27
9:0,0,0,0,0,0.0,0.5 28 29
10:0,1,0,0,0,1.0,11.25 0 11 12 13
11:1,0,0,0,0,0.5,42.25 0 10 14 15
12:1,0,0,0,0,0.5,0.25 1 10 16 17
13:0,0,0,0,0,0.5,13.75 1 10 18 19
14:0,0,1,0,0,0.25,29.5 2 11 20 21
15:0,1,0,0,0,1.0,0.5 2 11 22 23
16:1,0,2,0,0,0.25,10.5 3 12 24 25
17:0,0,0,0,0,0.25,0.25 3 12 26 27
18:0,0,1,0,0,0.25,2.0 4 13 28 29
19:0,0,0,0,0,0.25,0.5 4 13 20 21
20:0,0,1,0,0,0.5,6.0 5 14 19 22
21:0,0,0,0,0,0.25,20.0 5 14 19 23
22:0,1,0,0,0,1.0,12.75 6 15 20 24
23:0,0,0,0,0,0.5,1.0 6 15 21 25
24:0,0,0,0,0,0.5,4.75 7 16 22 26
25:0,0,0,0,0,0.25,5.25 7 16 23 27
26:0,0,0,0,0,0.25,0.5 8 17 24 28
27:0,0,0,0,1,0.0,0.5 8 17 25 29
28:0,0,0,0,0,0.0,3.5 9 18 26 29
29:0,0,0,0,1,0.0,0.5 9 18 27 28
